Brew pilot check: Dustin's 15 brews under k3 and kp3   (2026-09-25 07:16)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
100 paired deals per matchup, seeds 21,050,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 24,000; a deal counts only when all three rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; two paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                     n  k3|k3  kp3|k3  kp3|kp3         pilot          meta        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  11-archaludon-hax v blaziken      100   14.0    13.0      nan    -1.0 ±4.4     +nan ±nan              0/0          0/0            —       62/132 47%      72/90 80%
  11-archaludon-hax v hydreigon     100   21.0    25.0      nan    +4.0 ±7.3     +nan ±nan              0/0          0/0            —       58/124 47%      65/89 73%
  11-archaludon-hax v lucario       100   26.0    27.0      nan    +1.0 ±5.9     +nan ±nan              0/0          0/0            —       49/100 49%      57/69 83%
  11-archaludon-hax v sceptile      100    5.0     8.0      nan    +3.0 ±4.4     +nan ±nan              0/0          0/0            —       59/138 43%      70/86 81%
  11-archaludon-hax v suicune       100   10.0    12.0      nan    +2.0 ±4.8     +nan ±nan              0/0          0/0            —       62/124 50%      70/85 82%
  11-archaludon-hax v vespiquen     100   10.0     8.0      nan    -2.0 ±4.8     +nan ±nan              0/0          0/0            —       64/115 56%      69/91 76%
  11-archaludon-hax v weezing       100   11.0     9.0      nan    -2.0 ±4.8     +nan ±nan              0/0          0/0            —       54/112 48%      60/78 77%
  11-archaludon-hax v all eight     800   15.1    15.8      nan    +0.6 ±2.0     +nan ±nan              0/0          0/0            —      467/983 48%    528/694 76%

  12-ariados-whimsi v altaria       100   47.0    49.0      nan    +2.0 ±6.8     +nan ±nan              0/0          0/0            —        16/232 7%     56/106 53%
  12-ariados-whimsi v blaziken      100   23.0    21.0      nan    -2.0 ±4.8     +nan ±nan              0/0          0/0            —       22/195 11%     65/118 55%
  12-ariados-whimsi v hydreigon     100   47.0    50.0      nan    +3.0 ±6.5     +nan ±nan              0/0          0/0            —        14/225 6%     56/135 41%
  12-ariados-whimsi v lucario       100   32.0    31.0      nan    -1.0 ±3.4     +nan ±nan              0/0          0/0            —        17/224 8%     70/118 59%
  12-ariados-whimsi v sceptile      100   31.0    26.0      nan    -5.0 ±7.0     +nan ±nan              0/0          0/0            —        15/236 6%     63/124 51%
  12-ariados-whimsi v suicune       100   31.0    31.0      nan    +0.0 ±6.8     +nan ±nan              0/0          0/0            —       23/190 12%     54/118 46%
  12-ariados-whimsi v vespiquen     100   37.0    35.0      nan    -2.0 ±7.9     +nan ±nan              0/0          0/0            —        15/249 6%     66/114 58%
  12-ariados-whimsi v weezing       100   46.0    46.0      nan    +0.0 ±4.8     +nan ±nan              0/0          0/0            —       20/177 11%      61/97 63%
  12-ariados-whimsi v all eight     800   36.8    36.1      nan    -0.6 ±2.2     +nan ±nan              0/0          0/0            —      142/1728 8%    491/930 53%

  13-a-ninetales-ra v altaria       100   34.0    46.0      nan   +12.0 ±8.9     +nan ±nan          6/82 7%   89/89 100%            —       24/225 11%     59/130 45%
  13-a-ninetales-ra v blaziken      100   56.0    79.0      nan   +23.0 ±9.6     +nan ±nan          0/84 0% 100/100 100%            —       15/157 10%      43/74 58%
  13-a-ninetales-ra v hydreigon     100   52.0    62.0      nan   +10.0 ±9.4     +nan ±nan          2/70 3%   84/84 100%            —        19/214 9%     59/104 57%
  13-a-ninetales-ra v lucario       100   48.0    60.0      nan   +12.0 ±8.9     +nan ±nan          0/56 0%   65/65 100%            —       22/180 12%      57/94 61%
  13-a-ninetales-ra v sceptile      100   42.0    47.0      nan    +5.0 ±9.0     +nan ±nan          1/89 1%   93/93 100%            —        19/218 9%     57/106 54%
  13-a-ninetales-ra v suicune       100   42.0    68.0      nan   +26.0 ±9.5     +nan ±nan          4/99 4% 106/106 100%            —       21/206 10%     55/124 44%
  13-a-ninetales-ra v vespiquen     100   33.0    57.0      nan   +24.0 ±11.5    +nan ±nan          4/88 5% 107/107 100%            —       24/196 12%     68/106 64%
  13-a-ninetales-ra v weezing       100   37.0    54.0      nan   +17.0 ±9.7     +nan ±nan          0/72 0%   83/83 100%            —       16/163 10%      50/80 62%
  13-a-ninetales-ra v all eight     800   43.0    59.1      nan   +16.1 ±3.4     +nan ±nan        17/640 3% 727/727 100%            —     160/1559 10%    448/818 55%

  14-comfey-raticat v altaria       100   16.0    33.0      nan   +17.0 ±8.8     +nan ±nan          4/79 5%   81/81 100%            —       34/171 20%     55/108 51%
  14-comfey-raticat v blaziken      100   14.0    32.0      nan   +18.0 ±7.6     +nan ±nan          5/94 5% 103/103 100%            —       25/170 15%      50/97 52%
  14-comfey-raticat v hydreigon     100   10.0    18.0      nan    +8.0 ±7.7     +nan ±nan          4/80 5%   84/84 100%            —       37/151 25%      52/85 61%
  14-comfey-raticat v lucario       100   16.0    26.0      nan   +10.0 ±8.1     +nan ±nan          0/69 0%   69/69 100%            —       36/166 22%      58/89 65%
  14-comfey-raticat v sceptile      100    0.0     4.0      nan    +4.0 ±3.9     +nan ±nan          6/98 6% 115/115 100%            —       32/150 21%     56/104 54%
  14-comfey-raticat v suicune       100    2.0     7.0      nan    +5.0 ±5.1     +nan ±nan         3/107 3% 110/110 100%            —       26/147 18%      57/98 58%
  14-comfey-raticat v vespiquen     100    6.0    20.0      nan   +14.0 ±7.9     +nan ±nan          4/95 4% 105/105 100%            —       42/153 27%     60/120 50%
  14-comfey-raticat v weezing       100    1.0    18.0      nan   +17.0 ±7.4     +nan ±nan          3/87 3%   96/96 100%            —       33/127 26%     53/108 49%
  14-comfey-raticat v all eight     800    8.1    19.8      nan   +11.6 ±2.6     +nan ±nan        29/709 4% 763/763 100%            —     265/1235 21%    441/809 55%

  15-jolteon-oricor v altaria       100   40.0    55.0      nan   +15.0 ±9.4     +nan ±nan          4/65 6%   76/76 100%            —       27/173 16%     43/118 36%
  15-jolteon-oricor v blaziken      100   32.0    44.0      nan   +12.0 ±7.5     +nan ±nan          1/78 1%   93/93 100%            —        15/161 9%      54/89 61%
  15-jolteon-oricor v hydreigon     100   34.0    43.0      nan    +9.0 ±7.4     +nan ±nan          3/62 5%   67/67 100%            —       20/143 14%      42/93 45%
  15-jolteon-oricor v lucario       100   26.0    41.0      nan   +15.0 ±8.5     +nan ±nan          4/68 6%   67/67 100%            —       32/145 22%      55/93 59%
  15-jolteon-oricor v sceptile      100   16.0    32.0      nan   +16.0 ±8.7     +nan ±nan          3/87 3% 114/114 100%            —       20/151 13%     52/101 51%
  15-jolteon-oricor v suicune       100   18.0    29.0      nan   +11.0 ±7.3     +nan ±nan          6/83 7%   97/97 100%            —       25/151 17%     54/104 52%
  15-jolteon-oricor v vespiquen     100   29.0    41.0      nan   +12.0 ±10.5    +nan ±nan          7/92 8% 114/114 100%            —       31/208 15%     60/107 56%
  15-jolteon-oricor v weezing       100   18.0    39.0      nan   +21.0 ±10.2    +nan ±nan          5/78 6%   98/98 100%            —       20/165 12%     55/107 51%
  15-jolteon-oricor v all eight     800   26.6    40.5      nan   +13.9 ±3.1     +nan ±nan        33/613 5% 726/726 100%            —     190/1297 15%    415/812 51%

Took 2636 s with 8 workers; 24,000 games.
