game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000288,altaria,0,8,3,1
72000288,blaziken,0,10,3,1
72000289,altaria,1,11,1,3
72000289,blaziken,0,8,4,1
72000290,altaria,1,8,1,3
72000290,blaziken,1,10,0,3
72000291,altaria,1,12,1,3
72000291,blaziken,0,8,3,0
72000292,altaria,0,13,4,1
72000292,blaziken,1,10,0,3
72000293,altaria,0,6,2,1
72000293,blaziken,0,10,5,1
72000294,altaria,0,8,3,1
72000294,blaziken,0,2,1,0
72000295,altaria,0,12,5,1
72000295,blaziken,1,11,1,3
72000296,altaria,0,11,4,2
72000296,blaziken,1,8,0,2
72000297,altaria,1,9,1,4
72000297,blaziken,0,8,3,1
72000298,altaria,1,8,1,4
72000298,blaziken,1,7,1,2
72000299,altaria,0,13,3,2
72000299,blaziken,1,16,2,4
72000300,altaria,1,13,0,3
72000300,blaziken,0,9,3,0
72000301,altaria,0,9,3,0
72000301,blaziken,1,9,2,3
72000302,altaria,0,12,5,1
72000302,blaziken,1,11,1,3
72000303,altaria,0,10,3,1
72000303,blaziken,1,15,2,3
72000304,altaria,0,8,3,1
72000304,blaziken,1,10,1,3
72000305,altaria,1,11,2,3
72000305,blaziken,0,6,3,1
72000306,altaria,0,13,5,2
72000306,blaziken,1,9,1,2
72000307,altaria,1,14,1,4
72000307,blaziken,0,9,3,0
72000308,altaria,1,7,1,3
72000308,blaziken,1,12,2,3
72000309,altaria,1,9,2,3
72000309,blaziken,1,11,2,3
72000310,altaria,1,10,1,3
72000310,blaziken,0,9,3,1
72000311,altaria,0,13,3,1
72000311,blaziken,1,5,0,3
72000312,altaria,0,10,4,2
72000312,blaziken,1,6,0,2
72000313,altaria,1,9,0,3
72000313,blaziken,0,11,3,2
72000314,altaria,0,15,5,2
72000314,blaziken,1,8,0,2
72000315,altaria,1,13,2,4
72000315,blaziken,0,14,3,0
72000316,altaria,0,11,3,1
72000316,blaziken,1,12,2,4
72000317,altaria,1,13,2,4
72000317,blaziken,0,10,3,2
72000318,altaria,1,9,0,3
72000318,blaziken,1,7,1,3
72000319,altaria,0,13,5,2
72000319,blaziken,1,12,1,4
72000320,altaria,1,8,2,4
72000320,blaziken,1,12,2,3
72000321,altaria,1,10,1,3
72000321,blaziken,1,14,2,5
72000322,altaria,0,8,4,1
72000322,blaziken,1,9,2,3
72000323,altaria,0,8,3,0
72000323,blaziken,1,13,2,4
72000324,altaria,1,13,1,3
72000324,blaziken,1,13,2,5
72000325,altaria,0,10,2,1
72000325,blaziken,1,9,1,3
72000326,altaria,0,6,3,0
72000326,blaziken,0,10,3,1
72000327,altaria,0,8,3,1
72000327,blaziken,1,13,1,5
72000328,altaria,1,10,2,3
72000328,blaziken,0,15,5,2
72000329,altaria,0,10,3,2
72000329,blaziken,1,9,0,3
72000330,altaria,0,9,3,1
72000330,blaziken,0,8,3,1
72000331,altaria,1,12,1,5
72000331,blaziken,0,10,3,1
72000332,altaria,1,9,1,5
72000332,blaziken,0,10,3,1
72000333,altaria,1,11,0,3
72000333,blaziken,1,6,0,2
72000334,altaria,1,11,2,5
72000334,blaziken,1,11,1,3
72000335,altaria,0,15,4,2
72000335,blaziken,0,9,3,0
72000336,altaria,1,11,0,3
72000336,blaziken,1,7,1,3
72000337,altaria,1,9,0,3
72000337,blaziken,1,11,2,5
72000338,altaria,0,6,3,0
72000338,blaziken,0,14,5,2
72000339,altaria,0,13,3,0
72000339,blaziken,1,11,2,3
72000340,altaria,0,14,5,2
72000340,blaziken,1,13,2,5
72000341,altaria,1,9,1,4
72000341,blaziken,1,11,2,2
72000342,altaria,1,10,1,3
72000342,blaziken,1,12,0,5
72000343,altaria,1,2,0,1
72000343,blaziken,1,4,0,2
72000344,altaria,0,9,4,2
72000344,blaziken,0,9,3,1
72000345,altaria,1,8,0,3
72000345,blaziken,0,8,3,2
